name,jurisdiction,jurisdictionType,entityType,status,statusDescription,birthyear,birthmonth,birthday,deathyear,deathmonth,deathday,zipcode
THE PROVINCIAL LUMBER COMPANY LIMITED,CANADA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1912,10,28,NONE,NONE,NONE,10005
SOCIETE FRANCAISE DES FILMS ET CINEMATOGRAPHES ECLAIR,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1912,12,11,NONE,NONE,NONE,10016
THE TABARD CIGARETTE AND TOBACCO COMPANY LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1913,02,27,NONE,NONE,NONE,10017
FIRTH BOOTH & COMPANY LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1913,10,01,NONE,NONE,NONE,10013
SOCIETE ANONYME DES CELLULOSES PLANCHON,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1913,11,20,NONE,NONE,NONE,10003
VEREINIGTE LAUSITZER GLASWERKE AKTIEN-GESELLSCHAFT,GERMANY,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1913,12,18,NONE,NONE,NONE,10013
ESTABLISSEMENTS JOSEPH VIANNEY,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1914,05,04,NONE,NONE,NONE,10003
RHEINISCHE GUMMI AND CELLULOID FABRIK,GERMANY,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1914,05,26,NONE,NONE,NONE,10010
CASTELLI CARPET COMPANY LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1914,07,31,NONE,NONE,NONE,10003
WEGZWALDA & COMPANY LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1915,02,19,NONE,NONE,NONE,10012
J. & C. BASZANGER LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1915,02,02,NONE,NONE,NONE,10038
SOCIETE DES PRODUITS CHIMIQUES GOIGNET,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1915,08,21,NONE,NONE,NONE,10004
J. WITKOWSKI & COMPANY LIMITED,JAPAN,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1916,03,18,NONE,NONE,NONE,10003
ROSEBANK FUR FARMS LIMITED,CANADA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1916,03,22,NONE,NONE,NONE,10006
W. G. PATRICK & COMPANY LIMITED,CANADA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1916,05,23,NONE,NONE,NONE,10013
J.N. RICHARDSON SONS & OWDEN LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1892,12,31,NONE,NONE,NONE,10013
GEORGE ROUTLEDGE & SONS LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1892,12,31,NONE,NONE,NONE,10007
TEA-TRADING CORPORATION K. & C. POPOFF BROS.,RUSSIA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1916,08,15,NONE,NONE,NONE,10003
THE WAH MINING & SMELTING COMPANY LTD.,CHINA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1916,10,31,NONE,NONE,NONE,10279
PRODUCE & WARRANT COMPANY,BELGIUM,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1916,11,14,NONE,NONE,NONE,10004
THE NORTH AMERICAN MERCANTILE AGENCY COMPANY,CHINA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1893,01,03,NONE,NONE,NONE,10038
W. BOLUS & COMPANY LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1917,05,15,NONE,NONE,NONE,10004
HANDELMAATSCHAPPY TRANSMARINA,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1917,06,30,NONE,NONE,NONE,10005
THE AMERICAN & GENERAL SECURITIES CORPORATION LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1917,12,26,NONE,NONE,NONE,10005
MEIJI TRADING COMPANY LIMITED,JAPAN,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1918,01,28,NONE,NONE,NONE,10005
OXO LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1918,01,28,NONE,NONE,NONE,10013
S. SUDZUKI & CO. LTD.,JAPAN,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1918,06,20,NONE,NONE,NONE,10038
A. M. PUENTE COMPANY,CUBA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1918,07,17,NONE,NONE,NONE,10005
MORIMURA TRADING COMPANY LIMITED,JAPAN,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1918,08,07,NONE,NONE,NONE,10010
THE TAISHO TRADING COMPANY LIMITED,JAPAN,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1918,12,12,NONE,NONE,NONE,10006
SANKYO COMPANY LIMITED,JAPAN,world,FOREIGN BUSINESS CORPORATION,INACTIVE,SURRENDER OF AUTHORITY,1918,12,24,1993,11,12,10104
THE RALEIGH CYCLE COMPANY,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1893,01,04,NONE,NONE,NONE,10040
UNION OF SIBERIAN CO-OPERATIVE UNIONS ZAKOOPSBIT,RUSSIA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1919,03,31,NONE,NONE,NONE,10006
RATO,RUSSIA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1919,04,04,NONE,NONE,NONE,10279
MURAI TRADING COMPANY LTD.,JAPAN,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1919,03,29,NONE,NONE,NONE,10005
UNION OF SIBERIAN CREAMERY ASSOCIATIONS,RUSSIA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1919,04,16,NONE,NONE,NONE,10006
ALL-RUSSIAN CENTRAL UNION OF CONSUMERS SOCIETIES,RUSSIA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1919,05,15,NONE,NONE,NONE,10006
GABRIEL SOKOLOFF & SONS LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1919,05,28,NONE,NONE,NONE,10013
ALDRED & COMPANY LIMITED,CANADA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1919,09,27,NONE,NONE,NONE,10005
CHAMPION ENGINEERING & SUPPLY COMPANY,CUBA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1919,01,02,NONE,NONE,NONE,10038
HOLLAND-BOMBAY TRADING COMPANY LIMITED,NETHERLANDS,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1920,02,25,NONE,NONE,NONE,10013
THE BARLOW CUBA COMPANY,CUBA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1920,03,01,NONE,NONE,NONE,10017
THE COSTA RICA MERCANTILE COMPANY,COSTA RICA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1920,03,19,NONE,NONE,NONE,10005
FRED WATERHOUSE COMPANY LIMITED,SINGAPORE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1920,05,04,NONE,NONE,NONE,10005
THE BAHAMAS PRODUCTS CORPORATION LIMITED.,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1920,06,23,NONE,NONE,NONE,10005
THE NATIONAL IMPORTING COMPANY OF CUBA INC.,CUBA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1921,01,04,NONE,NONE,NONE,11201
GATTI-GOODYEAR COMPANY,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1921,01,11,NONE,NONE,NONE,10010
THE COMMERCIAL COMPANY OF TOKYO LIMITED,JAPAN,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1921,01,27,NONE,NONE,NONE,10017
MORIMURA BROS. INC.,JAPAN,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1921,02,16,NONE,NONE,NONE,10010
THE TIMES BOOK COMPANY LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1921,10,04,NONE,NONE,NONE,10007
ALGEMEENE NORIT MAATSCHAPPY,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1921,11,25,NONE,NONE,NONE,10036
AKTSIA SELTS TRANSATLANTIK INC.,ESTONIA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1921,12,05,NONE,NONE,NONE,10038
LITHOGRAPHISCHE-ARTISTICHE ANSTALT MUNCHEN,GERMANY,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1893,02,07,NONE,NONE,NONE,10007
NORTH GERMAN LLOYD STEAMSHIP COMPANY,GERMANY,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1893,02,10,NONE,NONE,NONE,10004
COFFEE ROASTERS CORPORATION,COSTA RICA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1922,05,01,NONE,NONE,NONE,10038
JAMES CHADWICK BROTHER LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1883,02,13,NONE,NONE,NONE,10013
DOSHI TRADING COMPANY LIMITED,JAPAN,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1922,08,12,NONE,NONE,NONE,10016
THE ANDERSON SHEET METAL COMPANY,PITCAIRN ISLANDS,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1922,09,30,NONE,NONE,NONE,11215
ESTABLISSEMENTS REYNIER,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1923,01,11,NONE,NONE,NONE,10003
GENERAL SUGAR COMPANY,CUBA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1923,02,23,NONE,NONE,NONE,10005
FORTALEZA SUPPLY COMPANY,CUBA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1923,06,19,NONE,NONE,NONE,10019
THOMAS ADAMS AND COMPANY LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1893,03,22,NONE,NONE,NONE,10005
VICTORIA MINERAL WATER SPRING COMPANY OF OBERLAHUSTEIN AT ROTTERDAM NETHERLANDS,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1893,04,13,NONE,NONE,NONE,10007
COMPAGNIE FRANCAISE COMMERCIALE & MARITIME,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1923,09,28,NONE,NONE,NONE,10004
GENERAL SUGAR ESTATES INC.,CUBA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1924,07,11,NONE,NONE,NONE,10005
CANADIAN NATIONAL RAILWAY COMPANY,CANADA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1924,07,18,NONE,NONE,NONE,10011
G. U. PRICE LIMITED,CANADA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1924,08,05,NONE,NONE,NONE,10005
MURO WATCH COMPANY INC.,SWITZERLAND,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1925,01,13,NONE,NONE,NONE,10036
NICHI BEI KIITO KABUSHIKI KAISHA,JAPAN,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1925,01,20,NONE,NONE,NONE,10005
CALDBECK MACGREGOR EXPORTS LIMITED,CHINA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1925,04,02,NONE,NONE,NONE,10004
DERUTRA GERMAN-RUSSIAN TRANSPORTATION & STORAGE CORPORATION LTD.,GERMANY,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1925,07,31,NONE,NONE,NONE,10004
THE AMERICAN SEDDONS TIRE COMPANY LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1894,01,03,NONE,NONE,NONE,10007
COMPAGNIE FRANCAISE DU TELEGRAPHE DE PARIS A NEW YORK,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1894,03,09,NONE,NONE,NONE,10004
MIKIPHONE S. A.,SWITZERLAND,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1926,11,24,NONE,NONE,NONE,10004
INDO-PERSIAN TRADING CORPORATION LIMIED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1927,06,09,NONE,NONE,NONE,10001
SECURITY STOCK COMPANY LIMITED INC.,CANADA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1927,11,30,NONE,NONE,NONE,10001
J. & J. CASH LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1895,07,17,NONE,NONE,NONE,10012
LOUIS COEN WIRELESS------PROPRIETARY LIMITED,AUSTRALIA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1928,07,24,NONE,NONE,NONE,10011
LELAND & WAIT TRENDELL INC.,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1928,08,25,NONE,NONE,NONE,10017
NAAMLOOZE VENNOOTSCHAP POTASH ( KALI) EXPORT MAATSCHAPPY,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1928,12,11,NONE,NONE,NONE,10036
GEORGE FOWLER AND SON COMPANY LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1896,08,29,NONE,NONE,NONE,10014
MARCUS WARD AND COMPANY LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1896,04,17,NONE,NONE,NONE,10014
SEVENTH AVENUE FILM COMPANY LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1929,04,23,NONE,NONE,NONE,10019
MANUFACTURE DES MONTRES NITON S. A.,SWITZERLAND,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1929,07,30,NONE,NONE,NONE,10017
RUSSIAN COMPANY,RUSSIA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1897,01,14,NONE,NONE,NONE,10004
THE HODGETTS SAFETY SHIP COMPANY LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1898,04,13,NONE,NONE,NONE,10006
VORNBERGER & CO. LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1898,06,06,NONE,NONE,NONE,10018
THE AMERICAN PLASMON SYNDICATE LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1900,10,23,NONE,NONE,NONE,10128
NAIGAI WATA KABUSHIKI KAISHA,JAPAN,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1901,05,28,NONE,NONE,NONE,10005
CZARNIKOW MACDOUGALL & CO. LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1901,12,13,NONE,NONE,NONE,10005
L. M. ERICSSON & CO.,SWEDEN,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1902,05,07,NONE,NONE,NONE,10007
MANUFACTORIES OF GLASS AND CHEMICAL PRODUCTS OF SAINT-GOBAIN CHAUNY AND CIREY,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1902,12,02,NONE,NONE,NONE,10013
IMPROVED GOLF BALLS COMPANY LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1903,04,02,NONE,NONE,NONE,10019
SOCIETE ANONYME DES ANCIENS ESTABLISSMENTS PANHARD & LEVASSOR,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1903,12,03,NONE,NONE,NONE,10011
LE PNEU-CUIR SAMSON AMERICAN (AMERICAN SAMSON LEATHER COMPANY),FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1904,09,02,NONE,NONE,NONE,10001
THE WEST INDIES CHEMICAL WORKS LIMITED,JAMAICA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1904,09,21,NONE,NONE,NONE,10005
SOCIETY FOR TEA-TRADE W. WISSOTZKY & CO.,RUSSIA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1905,05,19,NONE,NONE,NONE,10013
F & O. CEDAR WORKS LTD.,GERMANY,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1905,07,28,NONE,NONE,NONE,10022
COMPANIA MEXICANA DEFINANZAS E. INVERSIONES SOCIEDAD ANOMIMA,MEXICO,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1906,01,15,NONE,NONE,NONE,10004
J. MAISON REMOND & CIE SOCIETE ANONYME,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1906,03,13,NONE,NONE,NONE,10003
RENAULT FRERES SELLING BRANCH,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1906,10,23,NONE,NONE,NONE,10019
EMBROIDERY WORKS ARBON LIMITED,SWITZERLAND,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1906,11,20,NONE,NONE,NONE,10012
THE MUHLETHALER CO.,SWITZERLAND,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1907,02,08,NONE,NONE,NONE,10038
LANTOS COMPANY LIMITED,HUNGARY,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1930,03,04,NONE,NONE,NONE,10021
KATAKURA INDUSTRY CO. LTD.,JAPAN,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1930,09,09,NONE,NONE,NONE,10016
INTERNATIONALER ARTISTEN-VERBAND SICHER WIE JOLD,GERMANY,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1930,10,27,NONE,NONE,NONE,10028
COMPANIA SIERRA LEONE,PANAMA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1931,02,16,NONE,NONE,NONE,10017
ALEXANDER JAMIESON & COMPANY LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1931,04,13,NONE,NONE,NONE,10016
LIBERIAN INDUSTRIAL CORPORATION,LIBERIA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1931,10,03,NONE,NONE,NONE,10030
O. ROBERTS & SONS LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1932,04,23,NONE,NONE,NONE,10036
SOCIETE INTERATIONALE DE RECHERCHES SOCIALES,SWITZERLAND,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1935,02,27,NONE,NONE,NONE,10035
PERRIN COOPER & COMPANY LIMITED,CHINA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1936,02,11,NONE,NONE,NONE,10005
NORTH CHINA WOOL CO. LIMITED,CHINA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1936,02,11,NONE,NONE,NONE,10005
D.A. STUART LTD.,CANADA,world,FOREIGN BUSINESS CORPORATION,INACTIVE,DISSOLUTION BY PROCLAMATION / ANNULMENT OF AUTHORITY,1937,06,01,2009,10,28,10011
SIR JOSEPH W. ISHERWOOD & CO. LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1937,08,12,NONE,NONE,NONE,10004
THE MAYFLOWER PICTURES CORPORATION LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1939,01,31,NONE,NONE,NONE,10020
PUERTO RICO RUM INDUSTRIES LIMITED,PUERTO RICO,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1939,02,02,NONE,NONE,NONE,10003
PERCY TRILNICK LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1939,03,22,NONE,NONE,NONE,10018
PRIMUS PRESS LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1939,08,12,NONE,NONE,NONE,11430
PINEBROOK LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1940,02,28,NONE,NONE,NONE,10020
WEST INDIA SALES LIMITED,"BAHAMAS, THE",world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1940,07,10,NONE,NONE,NONE,10017
WILKINSON RUBBER LINATEX LIMITED,GABON,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1940,07,17,NONE,NONE,NONE,10005
ALGEMEEN PERSBUREAU ANETA N.V.,NETHERLANDS ANTILLES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1941,03,07,NONE,NONE,NONE,10020
IPEKDJIAN BROTHERS LIMITED,HONG KONG,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1941,05,19,NONE,NONE,NONE,10036
MARSMAN TRADING CORPORATION,PHILIPPINES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1941,12,22,NONE,NONE,NONE,10005
JOSEF WEINBERGER LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1942,11,10,NONE,NONE,NONE,10036
GOLDHILL TRADING AND SHIPPING CO. S.A.,PANAMA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1944,07,25,NONE,NONE,NONE,10004
NORTH AMERICAN FOOD DISTRIBUTORS ASSOCIATION INC.,CANADA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1944,08,31,NONE,NONE,NONE,10014
REDIKER EXPRESS COMPANY INCORPORATED,CUBA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1944,09,18,NONE,NONE,NONE,10013
PACIFIC MERCHANDISING CORPORATION,PHILIPPINES,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1945,12,26,NONE,NONE,NONE,10004
VAPEL INCORPORATED,PANAMA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1946,05,22,NONE,NONE,NONE,10173
TRANS-LUXURY AIRLINES INC.,PUERTO RICO,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1946,07,24,NONE,NONE,NONE,10036
SWEDISH INTERCONTINENTAL AIRLINES AKTIEBOLAG,SWEDEN,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1946,08,10,NONE,NONE,NONE,10017
THE PESTROY COMPANY LIMITED,CANADA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1946,11,19,NONE,NONE,NONE,10007
AFGHAN AMERICAN TRADING COMPANY INC.,PANAMA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1940,08,16,NONE,NONE,NONE,10001
BROOK SAVILLE LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1947,09,11,NONE,NONE,NONE,10036
PANCO AGENCIES S.A.,PANAMA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1947,01,22,NONE,NONE,NONE,10004
FILM POLSKI,POLAND,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1947,01,20,NONE,NONE,NONE,10017
DIAZ BROTHERS CORPORATION,PUERTO RICO,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1947,02,18,NONE,NONE,NONE,10004
NICHOLAS (MANUFACTURERS AND EXPORTERS) LIMITED,UNITED KINGDOM,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1947,04,30,NONE,NONE,NONE,10001
MEXICO TOURS INC.,MEXICO,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1947,05,29,NONE,NONE,NONE,10038
SOCIETE AIR FRANCE,FRANCE,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1949,03,18,NONE,NONE,NONE,10019
TRANSPORTADORA GRANCOLOMBIANA LIMITADA,COLOMBIA,world,FOREIGN BUSINESS CORPORATION,ACTIVE,NONE,1949,06,22,NONE,NONE,NONE,10005
