name,jurisdiction,jurisdictionType,entityType,status,birthyear,zipcode
"R AND P INVESTMENTS N. V. WHICH WILL TRANSACT BUSINESS IN CALIFORNIA AS: ""RICH AND POOR INVESTMENTS, LTD.""",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1979,92108
"INMOBILIARIA MONIVON, S.A.",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1979,92101
"INMOBILIARIA FERI, S.A.",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1979,92101
"SBI OF SAN DIEGO, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1979,92037
"SBI-KOGO, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1979,92037
DAHILL FINANCIAL N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1979,92101
MGL CORP.,LIBERIA,world,Statement & Designation By Foreign Corporation,Forfeited,1979,92101
MONIFER CARLSBAD REALTY N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1979,92101
STANDARD GUARANTY INSURANCE COMPANY,GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1979,91423
PARK CAMINO REALTY N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1980,92108
"CORIMEL CORPORATION, S.A.",PANAMA,world,Statement & Designation By Foreign Corporation,Surrendered,1980,92101
"SPRINGBOARD CORPORATION N.V., WHICH WILL DO BUSINESS IN CALIFORNIA AS SPRINGBOARD INVESTMENTS",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,92101
"INGLEWOOD, N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,92101
"BENCHMARK 22, INC.",LIBERIA,world,Statement & Designation By Foreign Corporation,Forfeited,1980,92101
"BUF, INC.",LIBERIA,world,Statement & Designation By Foreign Corporation,Forfeited,1981,92101
"THE CAIRN COMPANY, INC. WHICH WILL DO BUSINESS IN CALIFORNIA AS THE CONSIDINE COMPANY, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1981,92101
"LEN, INC., WHICH WILL DO BUSINESS IN CALIFORNIA AS LIP",LIBERIA,world,Statement & Designation By Foreign Corporation,Active,1981,92101
"KALLOWAY INCORPORATED, N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1981,92101
LASTO REALTY CORPORATION N. V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1980,92123
"ANVILLE, N.V., WHICH WILL DO BUSINESS IN CALIFORNIA AS RAVINE CORPORATION",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1980,90071
"GRAFTON MECHANICAL, LTD.",CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1982,92108
M. B. FINANCIAL CORP. WHICH WILL DO BUSINESS IN CALIFORNIA AS WHITE FINANCIAL CORP.,PANAMA,world,Statement & Designation By Foreign Corporation,Surrendered,1981,92101
COLCHEST CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1981,92101
COLADA CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1981,92104
BAHIA VISTA N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1981,92101
INNOTRON LIMITED WHICH WILL BE DOING BUSINESS IN CALIFORNIA AS INNOTRON OF THE UNITED KINGDOM,UNITED KINGDOM,world,Statement & Designation By Foreign Corporation,Forfeited,1981,92120
272797 ALBERTA LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1981,92121
"ROBERTSON INCORPORATED N.V., WHICH WILL DO BUSINESS IN CALIFORNIA AS EADS VILLAS",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1981,92010
"ALEJANDRINA, INC.",PANAMA,world,Statement & Designation By Foreign Corporation,Surrendered,1981,92101
"FRANTEL S.A., WHICH WILL DO BUSINESS IN CALIFORNIA AS S.A. FRANTEL",PANAMA,world,Statement & Designation By Foreign Corporation,Forfeited,1981,92101
"MOKKO KAIKAN CO., LTD.",JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1982,92111
MERAD REALTY N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1982,92113
TYLYNA N.V.,NETHERLANDS,world,Statement & Designation By Foreign Corporation,Forfeited,1982,92201
"RANSTAR INTERNATIONAL, LTD.",CAYMAN ISLANDS,world,Statement & Designation By Foreign Corporation,Forfeited,1982,92103
PALISADES CORPORATION,LIBERIA,world,Statement & Designation By Foreign Corporation,Forfeited,1982,92101
ATHOLMEAD INVESTMENTS LIMITED,JERSEY,world,Statement & Designation By Foreign Corporation,Surrendered,1982,92037
"CARE MORE, INC., WHICH WILL DO BUSINESS IN CALIFORNIA AS PARADISE VALLEY HEALTH CARE CENTER",GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1982,92101
SWEATCHIC ACTIVEWEAR LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1982,92101
"ELECTRONIC INNOVATIONS LIMITED, WHICH WILL DO BUSINESS IN CALIFORNIA AS E.I.L. NOVAX",NEW ZEALAND,world,Statement & Designation By Foreign Corporation,Forfeited,1982,92037
SOLAL REALTY N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1982,92103
"GLORIANA, N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1982,92107
GRUPO SADA N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1982,92101
"MECOLO, INC.",PANAMA,world,Statement & Designation By Foreign Corporation,Forfeited,1982,92101
VPP NO. 38 CORP.,LIBERIA,world,Statement & Designation By Foreign Corporation,Forfeited,1982,92101
BAYETA N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1983,92118
"AUTOMOTIVE ELECTRONICS, S.A.",PANAMA,world,Statement & Designation By Foreign Corporation,Forfeited,1983,92101
LA VISTA SCENIC CORP,PANAMA,world,Statement & Designation By Foreign Corporation,Surrendered,1983,92101
"SAN DOLLAR, S.A. WHICH WILL DO BUSINESS IN CALIFORNIA AS BURICA DEVELOPMENT COMPANY",PANAMA,world,Statement & Designation By Foreign Corporation,Forfeited,1983,92021
BLUE OCEAN PROPERTIES S.A.,PANAMA,world,Statement & Designation By Foreign Corporation,Surrendered,1983,92101
"MOTORES Y ADAPTACIONES AUTOMOTRICES, S. A.",MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1983,92051
SONNENBERG INDUSTRIES LIMITED,CANADA,world,Statement & Designation By Foreign Corporation,Surrendered,1994,92102
"LION NATHAN LIMITED, WHICH WILL DO BUSINESS IN CALIFORNIA AS NEW ZEALAND BREWERIES LIMITED",NEW ZEALAND,world,Statement & Designation By Foreign Corporation,Forfeited,1983,92101
SECURITY MORTGAGE CORPORATION WHICH WILL DO BUSINESS IN CALIFORNIA AS MORTGAGE PLACEMENT CORPORATION,GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1983,92117
MERCADO ANDINO ENTERPRISE C.A.,VENEZUELA,world,Statement & Designation By Foreign Corporation,Forfeited,1983,92126
TRUE CATHAY INVESTMENT LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Forfeited,1984,92123
WINGDALE CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1984,92101
"THE HAGUE (SAN DIEGO) LTD. N.V., WHICH WILL DO BUSINESS IN CALIFORNIA AS REYNARD ARM",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1984,92110
SITA CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1984,92106
"CABELL INVESTMENTS, S.A.",PANAMA,world,Statement & Designation By Foreign Corporation,Forfeited,1984,92065
DORN INVESTMENTS CORP.,PANAMA,world,Statement & Designation By Foreign Corporation,Forfeited,1984,92065
SOLAR CORPORATION WHICH WILL DO BUSINESS IN CALIFORNIA AS HELIOS CORPORATION,LIBERIA,world,Statement & Designation By Foreign Corporation,Forfeited,1984,92101
WESLOW CORPORATION N.V.,NETHERLANDS,world,Statement & Designation By Foreign Corporation,Forfeited,1984,92121
"ASADORES FOGATI, S.A.",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1984,92002
"SBI, INC., WHICH WILL DO BUSINESS IN CALIFORNIA AS KLZZ",GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1985,92123
"CABRILLO INVESTMENTS N.V., WHICH WILL DO BUSINESS IN CALIFORNIA AS CABRILLO LTD.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1985,92101
CAROLIAN SYSTEMS INTERNATIONAL INC.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1985,92128
SHELTER CORPORATION OF CANADA LIMITED,CANADA,world,Statement & Designation By Foreign Corporation,Surrendered,1985,92103
"NATIONAL REALTY ESTATES, INC.",CANADA,world,Statement & Designation By Foreign Corporation,Active,1985,92128
"MONTEREY MEADOWS RANCH, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1985,92101
GEORGINA N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1985,92101-3907
"CEDARKNOLL, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Merged Out,1985,92127
ENTERCHANGE RESORTS INTERNATIONALE CORP.,PANAMA,world,Statement & Designation By Foreign Corporation,Forfeited,1985,92126
"INVERSIONES SUR PACIFICO, S.A. DE C.V.",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1986,92109
SKY TRIO REALTY INC. N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1986,92101
"KHITAM, N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1986,92107
"SUMAR, N.V. WHICH WILL TRANSACT BUSINESS IN THE STATE OF CALIFORNIA AS VALONA, INC.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1984,92101
INTERNATIONAL INNOVATORS INC.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1984,92129
SALVAGE AND DIVING INTERNATIONAL CORPORATION LTD.,HONG KONG,world,Statement & Designation By Foreign Corporation,Surrendered,1985,92109
"FUNDACION PARA LA INTEGRACION PRODUCTIVA SUSTENTABLE, ASOCIACION CIVIL",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,2005,92104
CHALIS CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1986,92101
"ANTUCA CORPORATION, N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1986,92101
BRIZA DOS MIL (2000) INC.,PANAMA,world,Statement & Designation By Foreign Corporation,Forfeited,1986,92101
MAGALLANES INVESTMENTS N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1986,92121
"SILVER PENNY, N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1986,92101
JAJALPA INVESTMENTS N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Merged Out,1986,92101
NEWPORT TRADING CHEMICAL INC. N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1986,92108
TRINATI CORPORATION,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1986,92121
KENTON GROUP (CANADA) INC.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1987,92119
"POWAY INVESTMENTS, N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1987,92101
NOLACI REALTY INC. N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1987,92101
MAXELL AMERICA INCORPORATED,GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1987,92173
SOCIETE CALMAR,FRANCE,world,Statement & Designation By Foreign Corporation,Surrendered,1987,92124
"BANK EARNINGS, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1987,92123
"GAMMA FISHING COMPANY, INC.",PUERTO RICO,world,Statement & Designation By Foreign Corporation,Forfeited,1987,92113
"FLIGHT INTERNATIONAL, INC., WHICH WILL DO BUSINESS IN CALIFORNIA AS (GEORGIA) FLIGHT INTERNATIONAL, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1982,92135-7062
ALPIN REALTY N.V. WHICH WILL DO BUSINESS IN CALIFORNIA AS PINAL REALTY,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1979,92101-8109
XPORTS OCEANIA LIMITED,NEW ZEALAND,world,Statement & Designation By Foreign Corporation,Surrendered,1985,92101
RAMCAR HOLDING CORP. N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1984,92109
"CAP STUDIES, INC.",JAPAN,world,Statement & Designation By Foreign Corporation,Active,1988,92111
INTERNATIONAL INDEMNITY COMPANY 'WHICH WILL DO BUSINESS IN CALIFORNIA AS' SPECIAL RISKS INSURANCE COMPANY,GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1983,92121
PATRAS FINANCE & TRADE INC.,PANAMA,world,Statement & Designation By Foreign Corporation,Surrendered,1988,92129
MERIDIAN DEVELOPMENTS INC. WHICH WILL DO BUSINESS IN CALIFORNIA AS 'INUVIK PROPERTY CORP.',CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1978,92101
"TOKAI DENPUN COMPANY, LTD.",JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1988,92107
MANSTER REAL ESTATE INC.,LIBERIA,world,Statement & Designation By Foreign Corporation,Surrendered,1984,92108
"KAT, INC., WHICH WILL DO BUSINESS IN CALIFORNIA AS KVM",LIBERIA,world,Statement & Designation By Foreign Corporation,Active,1981,92101
EPINETTE CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1988,90017
BUNKA GAKUEN,JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1988,92101
EXO (NZ) EXPORTS LIMITED,NEW ZEALAND,world,Statement & Designation By Foreign Corporation,Forfeited,1988,92101
MONDANA CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1986,92108
"JON, INC., WHICH WILL DO BUSINESS IN CALIFORNIA AS JPM",LIBERIA,world,Statement & Designation By Foreign Corporation,Active,1981,92101
SOUTINE N.V. WHICH WILL DO BUSINESS IN CALIFORNIA AS SOUTINE OF SAN DIEGO N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1989,92101
EMERALD INVESTMENTS N.V. WHICH WILL TRANSACT BUSINESS IN CALIFORNIA AS EMERALD OVERSEAS N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1985,92101-3907
THE WAWANESA MUTUAL INSURANCE COMPANY,CANADA,world,Statement & Designation By Foreign Corporation,Surrendered,1974,92108
RIMSKY CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1989,92101
"SEASCAPE, INC.",PANAMA,world,Statement & Designation By Foreign Corporation,Forfeited,1984,92108
PINFAM HOLDINGS CO. LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1989,92110
"HOKOJITSUGYO CO., LTD.",JAPAN,world,Statement & Designation By Foreign Corporation,Forfeited,1989,92101-3504
PROWICK INVESTMENTS AKTIENGESELLSCHAFT,LIECHTENSTEIN,world,Statement & Designation By Foreign Corporation,Forfeited,1989,92117
CALIFORNIA APARTMENT RENTAL N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1984,92101
SHADOWRIDGE PROPERTY CORP.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1989,92101
"VALUE INTERNATIONAL ATLANTA, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1989,92101
"MICRO-MACRO EUROPE CORPORATION, B.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1988,92108
"REFACCIONARIA LA FLECHA, S. A.",MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1983,92037
"LEADERSHIP INTERNATIONAL NETWORK, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1987,92127
PENNYFARTHING DEVELOPMENT CORP.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1990,92122
FULINTON INTERNATIONAL LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Forfeited,1990,92009
"TANDEM, A REALTY INVESTORS CORPORATION",CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1990,92130
IVAR N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1988,92101
"VISCO HEATER PRODUCTS, LTD.",CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1989,92154
"NCAC, INC.",JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1991,92101
GAILINDA HOLDINGS LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1991,92122
HH&M (LAJOLLA) LTD.,CAYMAN ISLANDS,world,Statement & Designation By Foreign Corporation,Surrendered,1990,92101
TORONTO SKATEWORKS LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1991,92037
"HOSPITAL METABOLICO G. RUBIO FRY, S.A.",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1991,92154
INTERNATIONAL LANGUAGE CENTRES LIMITED,UNITED KINGDOM,world,Statement & Designation By Foreign Corporation,Forfeited,1991,92103
"HIRATA INDUSTRIAL MACHINERIES CO., LTD.",JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1992,95833
HOU DEVELOPMENT CORPORATION WHICH WILL DO BUSINESS IN CALIFORNIA AS GUAM HOU DEVELOPMENT CORPORATION,GUAM,world,Statement & Designation By Foreign Corporation,Forfeited,1992,92126
REGALIAN PROPERTIES LTD.,BRITISH VIRGIN ISLANDS,world,Statement & Designation By Foreign Corporation,Forfeited,1992,92121
VIGOUR INVESTMENTS INC,BRITISH VIRGIN ISLANDS,world,Statement & Designation By Foreign Corporation,Surrendered,1992,92121
LUSHINGTON COMPANY LTD. WHICH WILL DO BUSINESS IN CALIFORNIA AS HALIO INC.,BRITISH VIRGIN ISLANDS,world,Statement & Designation By Foreign Corporation,Forfeited,1992,92121
FIRST WESTERN INVESTORS LIMITED,BRITISH VIRGIN ISLANDS,world,Statement & Designation By Foreign Corporation,Forfeited,1992,92106
"LUMINA PROPERTIES, INC.",BARBADOS,world,Statement & Designation By Foreign Corporation,Surrendered,1993,92101
"ELIM COMMERCIAL CO., LTD.","KOREA,SOUTH",world,Statement & Designation By Foreign Corporation,Forfeited,1993,92119
SIBENERGOHOLDING,RUSSIA,world,Statement & Designation By Foreign Corporation,Forfeited,1993,92128
WORLEY LIMITED TRANSACTING BUSINESS IN THE STATE OF CALIFORNIA AS WORLEY PTY LIMITED,AUSTRALIA,world,Statement & Designation By Foreign Corporation,Surrendered,1992,92101
"EL MONTANES, S.A.",PANAMA,world,Statement & Designation By Foreign Corporation,Forfeited,1993,92121
BEST CLEANERS & CONTRACTORS LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1993,92101
"TANABE SEIYAKU CO., LTD.",JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1993,92101-1995
MACONDA CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1990,92101
NR-STEAM CORP.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1992,92123
NIPPON CHALLENGE INC.,JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1994,92109
"FASE DE BAJA CALIFORNIA, S.A. DE C.V.",MEXICO,world,Statement & Designation By Foreign Corporation,Canceled,1994,92024
303369 ALBERTA LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1992,92075
MONTEL INC. WHICH WILL DO BUSINESS IN CALIFORNIA AS MONTEL AETNASTAK INC.,CANADA,world,Statement & Designation By Foreign Corporation,Active,1994,92128
CHULAND INVESTMENTS INC.,CANADA,world,Statement & Designation By Foreign Corporation,Active,1994,92124
DENNEMEYER & CO S.A.R.L.,LUXEMBOURG,world,Statement & Designation By Foreign Corporation,Forfeited,1994,92108
THYSSEN MINING CONSTRUCTION OF CANADA LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Active,1994,92108
SOLAHART INDUSTRIES PTY. LTD.,AUSTRALIA,world,Statement & Designation By Foreign Corporation,Forfeited,1994,92103
"HYUNDAI ELECTRONICS INDUSTRIES CO., LTD.","KOREA,SOUTH",world,Statement & Designation By Foreign Corporation,Surrendered,1994,92121
BIOCLEAR TECHNOLOGY INC.,CANADA,world,Statement & Designation By Foreign Corporation,Surrendered,1994,92101
PRO PHIL UNTERNEHMENSBERATUNGS GMBH,GERMANY,world,Statement & Designation By Foreign Corporation,Forfeited,1995,92104
GAIDEBRO HOLDINGS INC.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1995,92130-2045
MACKALU CORP.,LIBERIA,world,Statement & Designation By Foreign Corporation,Forfeited,1995,90024
"SOUTHBOURNE INC., WHICH WILL DO BUSINESS IN CALIFORNIA AS RENAISSANCE AVENUE PROPERTIES",LIBERIA,world,Statement & Designation By Foreign Corporation,Surrendered,1994,92101
"SANKEN DE MEXICO, S.A. DE C.V., WHICH WILL DO BUSINESS IN CALIFORNIA AS SANKEN CONSTRUCTION, INC.",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1994,92101
CEMAN HOLDINGS LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1995,92124
"ASSOCIATED DEVELOPERS, LTD., WHICH WILL DO BUSINESS IN CALIFORNIA AS CANADIAN ASSOCIATED DEVELOPERS, LTD.",CANADA,world,Statement & Designation By Foreign Corporation,Surrendered,1993,92101-8103
"SOUTHWEST PROPERTIES LTD., WHICH WILL DO BUSINESS IN CALIFORNIA AS CPA PROPERTIES, INC.",BARBADOS,world,Statement & Designation By Foreign Corporation,Active,1995,92106
"L G INFORMATION & COMMUNICATIONS, LTD.","KOREA,SOUTH",world,Statement & Designation By Foreign Corporation,Forfeited,1995,92128
ANIMAL USA LIMITED,UNITED KINGDOM,world,Statement & Designation By Foreign Corporation,Forfeited,1996,92037
I D BIOMEDICAL CORPORATION,CANADA,world,Statement & Designation By Foreign Corporation,Surrendered,1995,92130
KABOOL ELECTRONIC CO. LTD,"KOREA,SOUTH",world,Statement & Designation By Foreign Corporation,Surrendered,1996,90017
"UNITY CORPORATION, WHICH WILL DO BUSINESS IN CALIFORNIA AS 6223 AVENIDA FLORESTA HOLDING CO.",CAYMAN ISLANDS,world,Statement & Designation By Foreign Corporation,Forfeited,1996,92067
SEONG HA CORPORATION,"KOREA,SOUTH",world,Statement & Designation By Foreign Corporation,Surrendered,1996,92109
BIOCLEAR TECH SALES INC.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1996,92101
"BOAT SHOWS OF MEXICO, S.A. DE C.V.",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1996,90017
ENVISYS ENVIRONMENTAL SYSTEMS AB,SWEDEN,world,Statement & Designation By Foreign Corporation,Forfeited,1996,93003
GENERAL ATOMICS EXPORT CORPORATION,BARBADOS,world,Statement & Designation By Foreign Corporation,Surrendered,1996,90017
"EMBIENCE, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Active,2001,92121
AMERICAS HOSPITAL S.A. DE C.V.,MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1997,92101
WXL COMMUNICATIONS LIMITED,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1997,92131
"PRODUCTION AD.ONE, INC.","KOREA,SOUTH",world,Statement & Designation By Foreign Corporation,Forfeited,1997,91910
DESERT OAK TRADING PTY. LTD.,AUSTRALIA,world,Statement & Designation By Foreign Corporation,Forfeited,1997,92154
"FIRMA CORPORATIVA, S.C.",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1997,92101
"BOWMORE DE MEXICO, S.A. DE C.V.",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1997,92126
ON-LINE INTERNATIONAL LIMITED WHICH WILL DO BUSINESS IN CALIFORNIA AS ONLINE-WORLD.COM,NEW ZEALAND,world,Statement & Designation By Foreign Corporation,Forfeited,1997,92101
