name,jurisdiction,jurisdictionType,entityType,status,birthyear,zipcode
"KAWATETSU TRADING COMPANY, LIMITED",JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1974,94111
JAY KAY INC. - WHICH WILL DO BUSINESS IN CALIFORNIA AS JEFF MELWANI INC.,GUAM,world,Statement & Designation By Foreign Corporation,Forfeited,1988,94109
"BANCO DO ESTADO DE SAO PAULO, S.A.",BRAZIL,world,Statement & Designation By Foreign Corporation,Surrendered,1975,94104
AVIVA INVESTMENTS N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1975,94108
ERNAS INVESTMENTS N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1975,94108
CHONG HING BANK LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Active,1976,94108
HARWAL S.A.,SWITZERLAND,world,Statement & Designation By Foreign Corporation,Active,1976,94103
"LANE-WALKER-RUDKIN, LTD.",NEW ZEALAND,world,Statement & Designation By Foreign Corporation,Surrendered,1976,94111
1801 CENTURY PARK EAST N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1976,94104
ROSEMEL PROPERTIES N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1976,94111
MARUMBA N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1976,94111
"MATTOT, N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1976,94111
PINTHA N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1976,94111
RALA N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1976,94111
UBACHI N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1976,94104
"WALTER LANDOR Y ASOCIADOS, S.A.",MEXICO,world,Statement & Designation By Foreign Corporation,Forfeited,1976,94111
"PILIPINAS TRADE HOUSE, INC.",PHILIPPINES,world,Statement & Designation By Foreign Corporation,Surrendered,1977,94122
"BANCO DE VIZCAYA, S. A.",SPAIN,world,Statement & Designation By Foreign Corporation,Surrendered,1977,94104
ADDISON - BENSON LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1977,94114
CATHAY PACIFIC AIRWAYS LTD.,HONG KONG,world,Statement & Designation By Foreign Corporation,Forfeited,1977,94108
TRADERS INTERNATIONAL CORPORATION WHICH WILL TRANSACT BUSINESS IN CALIFORNIA AS PHILIPPINE TRADERS INTERNATIONAL CORPORATION,PHILIPPINES,world,Statement & Designation By Foreign Corporation,Forfeited,1977,94111
BANK OF INDIA,INDIA,world,Statement & Designation By Foreign Corporation,Active,1977,94104
BRANNAN REALTY N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1977,94111
GOLDEN FRUITS GROUP S.A.,PANAMA,world,Statement & Designation By Foreign Corporation,Active,1977,94116
ANDRUS REALTY N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1977,94104
"A. & R. DEVELOPMENTS, LTD., WHICH WILL DO BUSINESS IN CALIFORNIA AS IAN MACNAUGHTON, INC.",CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1978,94111
IKSIR INVESTMENT COMPANY N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1978,94111
MAR-TIERRA CORPORATION,PHILIPPINES,world,Statement & Designation By Foreign Corporation,Forfeited,1978,94104
ARANAR MANAGEMENT ENTERPRISES CORPORATION,PHILIPPINES,world,Statement & Designation By Foreign Corporation,Forfeited,1978,94115
MOUNT-UNION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1978,94111
EPHEME N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1978,94104
"LINCOLN PARK PROPERTIES, INC.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1978,94111
"GIOVANNI, INC.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Active,1978,94103
JUVE INVESTMENT CO. N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1978,94104
MOREDEL INTERNATIONAL N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1978,94111
"VALLEJO STREET COMPANY, N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Active,1978,94123
J. M. VOITH GMBH,GERMANY,world,Statement & Designation By Foreign Corporation,Surrendered,1978,94111
THE ROYAL BANK OF SCOTLAND (1727) LIMITED,UNITED KINGDOM,world,Statement & Designation By Foreign Corporation,Surrendered,1978,94111
ROBERT LEE LTD. WHICH WILL DO BUSINESS IN CALIFORNIA AS BR LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1978,94111
CHITTENS CORPORATION N.V.,NETHERLANDS,world,Statement & Designation By Foreign Corporation,Forfeited,1979,94111
FREMONT CAPITAL CORPORATION N.V.,NETHERLANDS,world,Statement & Designation By Foreign Corporation,Forfeited,1979,94111
SING TAO NEWSPAPERS LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Surrendered,1979,94104
"DECENCY INDUSTRIAL COMPANY, LIMITED",HONG KONG,world,Statement & Designation By Foreign Corporation,Forfeited,1979,94121
"EMBASSY ESTATES LTD. WHICH WILL DO BUSINESS IN CALIFORNIA AS ALBERNI INVESTMENTS, LTD.",CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1979,94133
PROSPERO CORPORATION WHICH WILL DO BUSINESS IN CALIFORNIA AS PROSPERO REAL ESTATE CORPORATION,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1979,94133
CLEMO INVESTMENTS LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Forfeited,1979,94104
MILPITAS CAPITAL CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1979,94111
HANIWA N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1979,94111
WATABE WEDDING CORPORATION,JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1979,94108
PARKEN INVESTMENT COMPANY NO. ONE N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1979,94111
SALWA N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1979,94104
TRANSPROPERTY NUMBER ONE N.V.,NETHERLANDS,world,Statement & Designation By Foreign Corporation,Surrendered,1979,94111
ESVIC ONE CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1979,94104
CYGNAL NINE N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1979,94111
"AQEEL PROPERTIES, N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1979,94111
ST. THOMAS INVESTMENTS N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1979,94111
NIRAY INTERNATIONAL N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1979,94111
YAN CHI INVESTMENT COMPANY LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Surrendered,1979,94133
"JEM RECORDING COMPANY, INC. WHICH WILL DO BUSINESS IN CALIFORNIA AS: J & M RECORDING CO., INC.",PHILIPPINES,world,Statement & Designation By Foreign Corporation,Forfeited,1979,94112
SWANNDRI LIMITED,NEW ZEALAND,world,Statement & Designation By Foreign Corporation,Forfeited,1979,94104
PALADIN N.V. WHICH WILL DO BUSINESS IN CALIFORNIA AS 215 FREMONT CENTER,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1979,94111
"KAYO BEAUTY SHOP, LTD.",JAPAN,world,Statement & Designation By Foreign Corporation,Forfeited,1979,94115
PHILIPPINE COMMERCIAL AND INDUSTRIAL BANK,PHILIPPINES,world,Statement & Designation By Foreign Corporation,Surrendered,1979,94111
DUFFERIN N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1979,94111
CRISBA REAL ESTATE CO. N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1979,94111
"EQUAVEST, N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1979,94118
FOSCARIA N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1979,94111
DELVADA COMPANY N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1979,94105
NINA NUMBER SIX N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1979,94111
OKUMURA CORPORATION,JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94111
BIG SABLE INVESTMENTS N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94111
NABAT INVESTMENT CO. N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1980,94111
"CHEKIANG FIRST BANK, LIMITED",HONG KONG,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94104
PAREN CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1980,94104
"PACIFIC DIAMOND CORPORATION N.V., WHICH WILL DO BUSINESS IN CALIFORNIA AS ""1333 PACIFIC CORPORATION.""",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1980,94108
ROVENTA CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94111
MALANKIA CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1980,94104
TRANSTAMPA INVESTMENT COMPANY N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94111
HUTAG CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94118
WILLHURST COMPANY N.V.,NETHERLANDS,world,Statement & Designation By Foreign Corporation,Forfeited,1980,94111
UTICA CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94104
WESTBY CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94104
LOVINCK INVESTMENTS N.V.,NETHERLANDS,world,Statement & Designation By Foreign Corporation,Active,1980,94104
LATHESE ETABLISSEMENT,LIECHTENSTEIN,world,Statement & Designation By Foreign Corporation,Active,1980,94109
I.G. IMPERIAL GROUP NINE N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1980,94104
WHITETAIL CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94104
ONIX N.V. DOING BUSINESS IN CALIFORNIA AS ONV PROPERTIES,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94104
BORENE CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94104
TIMPA CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94104
LERICH CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94104
NADU CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94104
RESA CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94104
SANNEY CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94104
"HOFF & MICHAEL, INC.",GEORGIA,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94109
MAG HOLIDAY WORLD AKTIENGESELLSCHAFT,LIECHTENSTEIN,world,Statement & Designation By Foreign Corporation,Forfeited,1980,94111
LEEDS INVESTMENTS N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94111
TROVIATORE N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1980,94102
"REGNO, N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1980,94111
CERDIP-ELEKTRONIK VERTRIEBSGESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,GERMANY,world,Statement & Designation By Foreign Corporation,Forfeited,1980,94104
NEICHEN N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Active,1980,94104
BLACKFRIARES INVESTMENTS N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Active,1980,94104
"UNTUNG, N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1980,94104
FREMONTANA INVESTMENTS N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94103
"DOMINICK ENTERPRISES (ANTILLES), N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94104
TOSTON CORPORATION N.V.,NETHERLANDS,world,Statement & Designation By Foreign Corporation,Forfeited,1980,94108
DELANO CORPORATION N.V. DOING BUSINESS AS DELANO HOLDINGS CORPORATION N.V.,NETHERLANDS,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94108
PRINCEGATE LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Forfeited,1980,94109
OVERSEAS TRUST BANK LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94111
CPDS MANILA INTERNATIONAL TRADING CORPORATION,PHILIPPINES,world,Statement & Designation By Foreign Corporation,Forfeited,1980,94108
PIMLICO N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94111
"TUT CORPORATION N.V., WHICH WILL DO BUSINESS IN CALIFORNIA AS TUT INVESTMENTS",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94104
"FRAM CORPORATION N.V., WHICH WILL DO BUSINESS IN CALIFORNIA AS FRAM INVESTMENTS",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94104
"HELDERS N.V., WHICH WILL DO BUSINESS IN CALIFORNIA AS IROSCO",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1980,94115
DILLINGER INVESTING COMPANY N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1980,94104
FRIED. KRUPP GESELLSCHAFT MIT BECHRANKTER HAFTUNG,GERMANY,world,Statement & Designation By Foreign Corporation,Forfeited,1981,94111
GOBOR AKTIENGESELLSCHAFT,LIECHTENSTEIN,world,Statement & Designation By Foreign Corporation,Forfeited,1981,94111
ATARAS AKTIENGESELLSCHAFT,LIECHTENSTEIN,world,Statement & Designation By Foreign Corporation,Forfeited,1981,94111
CYPRESS FINANCE N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1981,94104
NARAMICS COMPANY LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Forfeited,1981,94104
"T.I.P. COMPANY N.V. DOING BUSINESS IN CALIFORNIA AS TIP INVESTMENTS, INC.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1981,94111
MALLEY INVESTMENTS N. V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1981,94104
ORIENT PACIFIC SHIPPING COMPANY S.A.,PANAMA,world,Statement & Designation By Foreign Corporation,Surrendered,1981,94111
DEVINOTEX N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Active,1981,94111
NEVILLE H. PRICE & ASSOCIATES-ARCHITECTS LIMITED,NEW ZEALAND,world,Statement & Designation By Foreign Corporation,Forfeited,1981,94109
FONDLAND LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Surrendered,1981,94109
TAMUS TRANSACTIONS S.A.,PANAMA,world,Statement & Designation By Foreign Corporation,Surrendered,1982,94123
KHALSA ENTERPRISES LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1981,94111
"MORVRIN INVESTIMENTI, S.A.",PANAMA,world,Statement & Designation By Foreign Corporation,Forfeited,1981,94109
BOSQUES DE SAN ISIDRO S.A. DE CAPITAL VARIABLE,MEXICO,world,Statement & Designation By Foreign Corporation,Surrendered,1981,94111
"PAMUKALE CORP., N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1981,94104
"DANSVILLE, N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1981,94104
BANK OF CREDIT AND COMMERCE HONG KONG LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Surrendered,1981,94104
GRANDWEAL ENTERPRISES LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Forfeited,1981,94116
PATRICIAN PROPERTIES N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1981,94111
"BEE HOUSE CO., LTD.",JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1981,94104
ALLARCO DEVELOPMENTS LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1981,94105
COAST HELICOPTERS LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1981,94102
TERRAMUNDO N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1981,94111
AGRU N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1981,94111
CHIRATEL INTERNATIONAL N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1981,94111
S.I.S. ENTERPRISES LIMITED,BRITISH VIRGIN ISLANDS,world,Statement & Designation By Foreign Corporation,Forfeited,1982,94108
LOS GATOS DEVELOPMENT CO. N.V.,NETHERLANDS,world,Statement & Designation By Foreign Corporation,Forfeited,1982,94104
BAXENDALE N.V.,NETHERLANDS,world,Statement & Designation By Foreign Corporation,Surrendered,1982,94111
PAK KOK TSUI LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Forfeited,1982,94133
WEALTH INVESTMENTS N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1982,94109
W AND S INVESTMENT CORPORATION WHICH WILL DO BUSINESS IN CALIFORNIA AS PANAMA W AND S INVESTMENT CORPORATION,PANAMA,world,Statement & Designation By Foreign Corporation,Forfeited,1982,94104
"STRATOS CORPORATION N.V., WHICH WILL DO BUSINESS IN CALIFORNIA AS WESTERN STRATOS CORPORATION",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1982,94116
MARSSON INTERNATIONAL LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Forfeited,1982,94108
"RADCLIFFE INVESTMENT LIMITED WHICH WILL DO BUSINESS IN CALIFORNIA AS RADCLIFFE CAPITAL, INC.",LIBERIA,world,Statement & Designation By Foreign Corporation,Forfeited,1982,94111
REDBRICK REAL ESTATE N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1982,94102
BANCORP PACIFIC PTY LTD.,AUSTRALIA,world,Statement & Designation By Foreign Corporation,Forfeited,1982,94104
ZABER CORP. N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1982,94105
NINA NUMBER FIVE N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1982,94111
COUNTY INVESTMENT CO. N.V. WHICH WILL DO BUSINESS IN CALIFORNIA AS S.F. COUNTY INVESTMENT CO. INC.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1982,94111
SAN JOSE RANCH N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1982,94107
"AEROLINEAS NICARAGUENSES, SOCIEDAD ANONIMA",NICARAGUA,world,Statement & Designation By Foreign Corporation,Forfeited,1982,94104
CALVERT PROPERTIES N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1982,94104
CT - EXPORT FLISTER GMBH,GERMANY,world,Statement & Designation By Foreign Corporation,Forfeited,1982,94104
HOYA CORPORATION,JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1982,94122
SOUTHWEST MULTI-INVESTMENT COMPANY N.V. WHICH WILL TRANSACT BUSINESS IN CALIFORNIA AS SWMI COMPANY N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1982,94108
INTERET NATURAL RESOURCES LIMITED,UNITED KINGDOM,world,Statement & Designation By Foreign Corporation,Forfeited,1982,94105
MARK'S INVESTMENT N.V. WHICH WILL DO BUSINESS IN CALIFORNIA AS 'SACRAMENTO MARK'S INVESTMENT',NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Active,1983,94108
TREVOR PLACE N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1983,94104
RAYBROW LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Forfeited,1983,94133
GLAS VON MARION VERSAND GMBH,GERMANY,world,Statement & Designation By Foreign Corporation,Surrendered,1983,94104
"ZONTONA INVESTMENTS, N.V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Forfeited,1983,94104
DEWDOP INVESTMENTS N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1983,94102
HAMARA CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1983,94111
DEFINAVAL N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1982,94111
ADAMUZ N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1983,94111
BANCO TOTTA E ACORES,PORTUGAL,world,Statement & Designation By Foreign Corporation,Surrendered,1983,94111
PHILIPPINE INTERNATIONAL TRADING CORPORATION WHICH WILL TRANSACT BUSINESS IN CALIFORNIA AS GOLDEN SHELL SHOWCASE,PHILIPPINES,world,Statement & Designation By Foreign Corporation,Surrendered,1983,94104
CAROCATI ENGINEERING CORP.,PANAMA,world,Statement & Designation By Foreign Corporation,Forfeited,1983,94111
FOOD STUFF TRADING INC.,PANAMA,world,Statement & Designation By Foreign Corporation,Surrendered,1983,94102
POON GUAN PRIVATE LIMITED,SINGAPORE,world,Statement & Designation By Foreign Corporation,Forfeited,1983,94123
VANDERVEER-WAH LIMITED,HONG KONG,world,Statement & Designation By Foreign Corporation,Surrendered,1983,94122
LONDON SILVER CORPORATION,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1983,94108
UNITED HEARNE RESOURCES LTD.,CANADA,world,Statement & Designation By Foreign Corporation,Forfeited,1983,94108
"JIUH SHINN ENTERPRISES COMPANY, LTD.",GEORGIA,world,Statement & Designation By Foreign Corporation,Forfeited,1983,94102
ABLON N. V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1984,94111
"MANNSVILLE INVESTMENT N. V., WHICH WILL DO BUSINESS IN CALIFORNIA AS NETHERLANDS ANTILLES MANNSVILLE INVESTMENT N. V.",NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1984,94111
GROSVENOR MERCANTILE HOLDINGS LIMITED,UNITED KINGDOM,world,Statement & Designation By Foreign Corporation,Forfeited,1984,94104
POWELL CREEK CORPORATION N.V.,NETHERLANDS ANTILLES,world,Statement & Designation By Foreign Corporation,Surrendered,1984,94111
"AFTER DARK PRODUCTIONS, LTD.",SWEDEN,world,Statement & Designation By Foreign Corporation,Forfeited,1984,94123
"NIPPON ELECTRIC INDUSTRY CO., LTD.",JAPAN,world,Statement & Designation By Foreign Corporation,Surrendered,1984,94111
YATHRIB TRADING & INDUSTRIAL CORPORATION,SAUDI ARABIA,world,Statement & Designation By Foreign Corporation,Forfeited,1984,94118
CAVALIER BREMWORTH (NORTH AMERICA) LIMITED,NEW ZEALAND,world,Statement & Designation By Foreign Corporation,Surrendered,1985,94104
